"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1985","100","Canadian dollar                         ","1993","Western calendar year","49210000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1985","1000","Canadian dollar","2008","Western calendar year","17633000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1985","100","Canadian dollar                         ","1993","Western calendar year","17633000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1984","1000","Canadian dollar","2008","Western calendar year","44826000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1984","100","Canadian dollar                         ","1993","Western calendar year","45059000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1984","1000","Canadian dollar","2008","Western calendar year","15612000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1984","100","Canadian dollar                         ","1993","Western calendar year","15612000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1983","1000","Canadian dollar","2008","Western calendar year","42048000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1983","100","Canadian dollar                         ","1993","Western calendar year","42293000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1983","1000","Canadian dollar","2008","Western calendar year","14184000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1983","100","Canadian dollar                         ","1993","Western calendar year","14184000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1982","1000","Canadian dollar","2008","Western calendar year","40444000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1982","100","Canadian dollar                         ","1993","Western calendar year","40685000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1982","1000","Canadian dollar","2008","Western calendar year","11980000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1982","100","Canadian dollar                         ","1993","Western calendar year","11980000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1981","1000","Canadian dollar","2008","Western calendar year","37735000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1981","100","Canadian dollar                         ","1993","Western calendar year","37936000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1981","1000","Canadian dollar","2008","Western calendar year","10863000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1981","100","Canadian dollar                         ","1993","Western calendar year","10863000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1980","100","Canadian dollar                         ","1993","Western calendar year","27892000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1980","100","Canadian dollar                         ","1993","Western calendar year","8446000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1979","100","Canadian dollar                         ","1993","Western calendar year","26635000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1979","100","Canadian dollar                         ","1993","Western calendar year","7571000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1978","100","Canadian dollar                         ","1993","Western calendar year","25430000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1978","100","Canadian dollar                         ","1993","Western calendar year","7067000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1977","100","Canadian dollar                         ","1993","Western calendar year","23785000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1977","100","Canadian dollar                         ","1993","Western calendar year","6357000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1976","100","Canadian dollar                         ","1993","Western calendar year","21392000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1976","100","Canadian dollar                         ","1993","Western calendar year","5895000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1975","100","Canadian dollar                         ","1993","Western calendar year","17357000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1975","100","Canadian dollar                         ","1993","Western calendar year","4741000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1974","100","Canadian dollar                         ","1993","Western calendar year","18214000000",""
